domain,email,source_url,source_type,source_kind,found_in,crawl_depth,confidence_score,confidence_label,reason_flags,sighting_count,verification_status,deliverability_confidence,resolved_company_domain,identity_confidence
stripe.com,jane.diaz@stripe.com,https://stripe.com/,httpx,site_page,html,0,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,stripe.com,90
stripe.com,sales@stripe.com,https://stripe.com/contact/sales,httpx,site_page,mailto,1,100,high,site_source|contact_page|useful_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,stripe.com,90
stripe.com,dpo@stripe.com,https://stripe.com/privacy,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,stripe.com,90
stripe.com,privacy@stripe.com,https://stripe.com/privacy,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,stripe.com,90
stripe.com,complaints-in@stripe.com,https://stripe.com/privacy,httpx,site_page,mailto,1,100,high,site_source|untyped_mailbox|domain_match_exact|sightings_1|verified,1,verified,90,stripe.com,90
stripe.com,error-lite@duckduckgo.com,https://duckduckgo.com/html/?q=site%3Astripe.com+%22%40stripe.com%22,osint,search_snippet,snippet_regex,0,80,high,osint_source|untyped_mailbox|domain_mismatch|sightings_3|verified,3,verified,90,stripe.com,40
stripe.com,055fe25f361b4333b9ab8f7fa5904bdc@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
stripe.com,f34eb4d46088416ba26b1e118e992a30@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
stripe.com,d0ddf36aa5f04a4a8239b56280da7517@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
stripe.com,467ec12a20ca4821a0b79a230a98d7d1@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
stripe.com,0c0602c7c032430a8ac6c219ce642c81@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
stripe.com,e8205334b22944a8a30b339d219b325c@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
stripe.com,4f0828f3c75c49c3ba20e493e30dc539@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
stripe.com,e0cad97696704d51bf173a88ebc06cc4@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
stripe.com,292ea7992b0f4e4db2abd96280207489@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
stripe.com,ed68af4cb70541eda554e01372542a06@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
stripe.com,d43908be97e348019a089641caf9323d@errors.stripe.com,https://dashboard.stripe.com/register,httpx,site_page,html,1,77,high,site_source|untyped_mailbox|domain_match_related|sightings_1|risky,1,risky,45,stripe.com,75
